word_count,char_count,caps_ratio,exclamation_count,question_count,url_count,spam_keyword_count,digit_ratio,special_char_ratio,subject_length,subject_caps_ratio,subject_spam_keywords,has_attachment,reply_to_mismatch,sender_domain_len,html_ratio,urgency_word_count,money_word_count,personal_greeting,line_break_ratio,label
0.092,0.091,0.021978,0.1,0.0,0.05,0.0,0.0,0.0,0.166667,0.04,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,1
0.018,0.027333,0.012195,0.0,0.0,0.1,0.0,0.0,0.0,0.146667,0.136364,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.08,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.05998,0.000255,0.133333,0.25,0.0,0.0,0.0,0.38,0.003063,0.0,0.0,0.0,0.0,1
1.0,1.0,0.007535,0.2,1.0,1.0,0.0,0.014047,0.041813,1.0,0.086667,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.0,0
0.004,0.058333,0.205714,0.0,0.0,0.05,0.0,0.085714,0.0,0.173333,0.153846,0.2,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.1,1
0.05,0.031,0.150538,0.15,0.0,0.0,0.0,0.0,0.0,0.133333,0.15,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.14,1
0.038,0.038333,0.095652,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.133333,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.04,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061256,0.000255,0.133333,0.25,0.0,0.0,0.0,0.18,0.003063,0.0,0.0,0.0,0.0,1
0.062,0.15,0.026667,0.0,0.05,0.05,0.0,0.017778,0.002222,0.58,0.103448,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.38,0
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061256,0.000255,0.133333,0.25,0.0,0.0,0.0,0.32,0.003063,0.0,0.0,0.0,0.0,1
0.152,0.165667,0.102616,0.05,0.0,0.1,0.066667,0.004024,0.018109,0.126667,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.5,0.0,0.48,1
0.094,0.128667,0.03886,0.0,0.0,0.05,0.066667,0.002591,0.0,0.673333,0.089109,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.26,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.058703,0.000255,0.133333,0.25,0.0,0.0,0.0,0.22,0.003063,0.0,0.0,0.0,0.0,1
0.604,1.0,0.165554,0.0,0.75,1.0,0.2,0.055955,0.000257,0.133333,0.25,0.0,0.0,0.0,0.4,0.00308,0.0,0.0,0.0,0.0,1
0.242,0.224333,0.017831,0.0,0.0,0.05,0.0,0.014859,0.004458,0.126667,0.105263,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.28,1
0.662,0.68,0.064216,0.0,0.05,0.15,0.0,0.033333,0.001961,0.246667,0.216216,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,1.0,0
0.604,1.0,0.165554,0.0,0.75,1.0,0.2,0.055955,0.000257,0.133333,0.25,0.0,0.0,0.0,0.4,0.00308,0.0,0.0,0.0,0.0,1
0.604,1.0,0.165512,0.0,0.75,1.0,0.2,0.05594,0.000257,0.133333,0.25,0.0,0.0,0.0,0.4,0.003079,0.0,0.0,0.0,0.0,1
1.0,1.0,0.046445,0.15,0.85,0.65,0.0,0.065651,0.003324,0.453333,0.044118,0.0,0.0,0.0,0.2,0.030102,0.0,0.0,0.0,0.0,0
1.0,1.0,0.056242,0.35,0.25,0.5,0.4,0.048282,0.005431,0.313333,0.191489,0.0,0.0,0.0,0.2,0.022169,0.1,0.2,0.0,0.0,0
0.302,0.401333,0.093023,0.0,0.1,0.25,0.2,0.0299,0.0,0.186667,0.25,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,1.0,0
0.702,1.0,0.053833,0.0,0.0,0.0,0.0,0.071617,0.002644,0.393333,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0
0.198,0.288333,0.045087,0.0,0.1,0.05,0.133333,0.009249,0.003468,0.22,0.121212,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.58,0
0.32,0.615,0.017886,0.4,0.0,0.05,0.0,0.054743,0.039024,0.406667,0.016393,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,1.0,0
0.184,0.141667,0.032941,0.0,0.05,0.0,0.066667,0.0,0.002353,0.246667,0.027027,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.34,0
0.02,0.022667,0.161765,0.05,0.0,0.0,0.0,0.0,0.029412,0.16,0.083333,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.08,1
0.018,0.032,0.03125,0.0,0.0,0.05,0.0,0.010417,0.0,0.066667,0.1,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.02,1
1.0,1.0,0.02156,0.0,0.1,0.0,0.066667,0.002854,0.0,0.173333,0.115385,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,1.0,0
0.014,0.021667,0.030769,0.0,0.0,0.1,0.0,0.0,0.0,0.28,0.02381,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.02,1
0.184,0.189,0.100529,0.05,0.0,0.0,0.0,0.044092,0.007055,0.226667,0.117647,0.2,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.36,1
0.604,1.0,0.152627,0.0,0.75,1.0,0.2,0.111216,0.000237,0.133333,0.25,0.0,0.0,0.0,0.24,0.00284,0.0,0.0,0.0,0.0,1
0.06,0.089,0.018727,0.05,0.0,0.0,0.0,0.0,0.0,0.113333,0.058824,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.34,1
0.106,0.113667,0.020528,0.1,0.0,0.05,0.0,0.017595,0.0,0.193333,0.034483,0.0,0.0,0.0,0.18,0.0,0.1,0.1,0.0,0.1,1
0.71,0.700667,0.017602,0.0,0.0,0.0,0.066667,0.00333,0.00666,0.26,0.051282,0.0,0.0,0.0,0.18,0.0,0.1,0.0,0.0,1.0,0
0.252,0.295667,0.045096,0.0,0.1,0.05,0.066667,0.029312,0.002255,0.326667,0.040816,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.5,0
0.604,1.0,0.165639,0.0,0.75,1.0,0.2,0.055984,0.000257,0.133333,0.25,0.0,0.0,0.0,0.2,0.003082,0.0,0.0,0.0,0.0,1
0.018,0.027333,0.012195,0.0,0.0,0.1,0.0,0.0,0.0,0.286667,0.023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1
0.018,0.058,0.011494,0.05,0.0,0.0,0.066667,0.0,0.0,0.266667,0.025,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.02,1
0.218,0.323,0.035088,0.0,0.05,0.05,0.0,0.034056,0.002064,0.64,0.09375,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.56,0
0.09,0.099,0.020202,0.1,0.05,0.05,0.066667,0.013468,0.0,0.186667,0.035714,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1
0.082,0.093,0.017921,0.0,0.0,0.0,0.066667,0.0,0.0,0.253333,0.026316,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.24,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.06049,0.000255,0.133333,0.25,0.0,0.0,0.0,0.28,0.003063,0.0,0.0,0.0,0.0,1
0.1,0.146,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.36,1
0.4,0.507,0.084813,0.0,0.05,0.25,0.133333,0.054569,0.00263,0.366667,0.018182,0.0,0.0,0.0,0.12,0.0,0.0,0.2,0.0,0.84,0
0.202,0.259333,0.05527,0.0,0.0,0.05,0.266667,0.011568,0.0,0.233333,0.142857,0.4,0.0,0.0,0.42,0.0,0.2,0.0,0.0,1.0,0
0.798,0.782,0.028986,0.0,0.1,0.0,0.133333,0.0,0.001279,0.173333,0.115385,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,1.0,0
0.034,0.032333,0.030928,0.0,0.0,0.1,0.0,0.010309,0.0,0.206667,0.032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1
0.784,1.0,0.128231,0.0,0.05,0.0,0.333333,0.006296,0.0,0.186667,0.178571,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,1.0,0
0.604,1.0,0.165725,0.0,0.75,1.0,0.2,0.056012,0.000257,0.133333,0.25,0.0,0.0,0.0,0.16,0.003083,0.0,0.0,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061001,0.000255,0.133333,0.25,0.0,0.0,0.0,0.28,0.003063,0.0,0.0,0.0,0.0,1
0.424,0.594667,0.059978,0.0,0.0,0.3,0.066667,0.016816,0.012892,0.193333,0.241379,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,1.0,0
0.306,0.266333,0.04005,0.0,0.05,0.0,0.066667,0.0,0.003755,0.246667,0.027027,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.56,0
0.342,0.312667,0.036247,0.05,0.1,0.0,0.0,0.042644,0.0,0.373333,0.107143,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.56,0
0.186,0.286667,0.037209,0.0,0.05,0.05,0.0,0.026744,0.002326,0.573333,0.116279,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.52,0
0.302,0.403,0.047974,0.0,0.0,0.2,0.2,0.01158,0.002481,0.3,0.111111,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.94,0
0.464,0.588,0.043084,0.0,0.05,0.15,0.266667,0.020408,0.001701,0.473333,0.112676,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0
1.0,1.0,0.145972,0.05,0.7,1.0,0.6,0.020019,0.001378,0.54,0.111111,0.0,0.0,0.0,0.52,0.0,0.2,0.7,0.0,1.0,0
0.694,0.780333,0.048697,0.0,0.0,0.2,0.133333,0.007689,0.001709,0.76,0.114035,0.0,0.0,0.0,0.16,0.0,0.0,0.1,0.0,1.0,0
0.02,0.022333,0.164179,0.15,0.0,0.0,0.0,0.0,0.014925,0.366667,0.018182,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.04,1
0.472,0.563,0.045589,0.0,0.0,0.25,0.466667,0.011841,0.00296,0.44,0.136364,0.0,0.0,0.0,0.16,0.0,0.0,0.2,0.0,1.0,0
0.268,0.255,0.036601,0.0,0.1,0.0,0.0,0.022222,0.001307,0.226667,0.058824,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9,0
0.104,0.107,0.062305,0.15,0.0,0.05,0.133333,0.0,0.0,0.346667,0.019231,0.0,0.0,0.0,0.18,0.0,0.0,0.1,0.0,0.2,1
0.064,0.071333,0.023364,0.05,0.0,0.0,0.133333,0.0,0.0,0.266667,0.025,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.24,1
0.326,0.375333,0.023091,0.0,0.15,0.15,0.0,0.007993,0.000888,0.326667,0.040816,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.54,0
0.082,0.090667,0.040441,0.1,0.0,0.05,0.0,0.0,0.0,0.12,0.055556,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.1,1
0.404,0.49,0.056463,0.0,0.0,0.1,0.266667,0.027211,0.004762,0.573333,0.116279,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0
0.018,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173333,0.038462,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061001,0.000255,0.133333,0.25,0.0,0.0,0.0,0.4,0.003063,0.0,0.0,0.0,0.0,1
0.08,0.106333,0.021944,0.05,0.0,0.0,0.066667,0.0,0.0,0.146667,0.045455,0.2,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.34,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061001,0.000255,0.133333,0.25,0.0,0.0,0.0,0.38,0.003063,0.0,0.0,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.06049,0.000255,0.133333,0.25,0.0,0.0,0.0,0.28,0.003063,0.0,0.0,0.0,0.0,1
0.168,0.158667,0.054622,0.05,0.0,0.05,0.066667,0.0,0.0,0.426667,0.046875,0.2,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.18,1
0.054,0.061,0.060109,0.0,0.05,0.05,0.133333,0.0,0.0,0.32,0.083333,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.2,1
1.0,1.0,0.037106,0.15,0.4,0.2,0.266667,0.010668,0.000618,0.373333,0.125,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.0,0
0.032,0.054333,0.04908,0.0,0.0,0.05,0.0,0.0,0.0,0.126667,0.157895,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.22,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.060235,0.000255,0.133333,0.25,0.0,0.0,0.0,0.24,0.003063,0.0,0.0,0.0,0.0,1
0.088,0.102333,0.013029,0.1,0.0,0.05,0.0,0.019544,0.003257,0.2,0.033333,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.1,1
0.31,0.391333,0.044293,0.0,0.0,0.1,0.2,0.017888,0.003407,0.486667,0.136986,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.92,0
0.036,0.051667,0.045161,0.0,0.0,0.05,0.0,0.0,0.0,0.133333,0.15,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.22,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061256,0.000255,0.133333,0.25,0.0,0.0,0.0,0.14,0.003063,0.0,0.0,0.0,0.0,1
0.03,0.05,0.073333,0.0,0.0,0.05,0.066667,0.0,0.0,0.16,0.125,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.22,1
0.034,0.051333,0.084416,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.22,1
0.106,0.092,0.021739,0.15,0.0,0.0,0.066667,0.01087,0.003623,0.093333,0.142857,0.0,0.0,0.0,0.18,0.0,0.0,0.1,0.0,0.12,1
0.24,0.325,0.099487,0.0,0.0,0.0,0.0,0.064615,0.01641,0.266667,0.175,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0
0.028,0.086,0.050388,0.0,0.05,0.05,0.0,0.01938,0.0,0.18,0.037037,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.72,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061256,0.000255,0.133333,0.25,0.0,0.0,0.0,0.24,0.003063,0.0,0.0,0.0,0.0,1
0.088,0.096667,0.034483,0.1,0.0,0.05,0.066667,0.024138,0.0,0.233333,0.028571,0.0,0.0,0.0,0.18,0.0,0.1,0.1,0.0,0.1,1
0.03,0.034667,0.009615,0.0,0.0,0.1,0.0,0.0,0.0,0.206667,0.032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1
0.152,0.163,0.092025,0.0,0.0,0.0,0.0,0.08589,0.002045,0.306667,0.065217,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.72,0
0.048,0.072667,0.018349,0.05,0.0,0.0,0.2,0.0,0.0,0.106667,0.0625,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.34,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.059724,0.000255,0.133333,0.25,0.0,0.0,0.0,0.44,0.003063,0.0,0.0,0.0,0.0,1
0.828,1.0,0.080094,0.3,0.0,0.0,0.066667,0.039727,0.005126,0.3,0.0,0.0,0.0,0.0,0.22,0.0,0.1,0.0,0.0,1.0,0
1.0,1.0,0.034549,0.3,0.45,0.25,0.266667,0.010227,0.000553,0.4,0.133333,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.0,0
0.23,0.289333,0.020737,0.0,0.05,0.1,0.133333,0.006912,0.002304,0.4,0.133333,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.44,0
0.604,1.0,0.165639,0.0,0.75,1.0,0.2,0.055984,0.000257,0.133333,0.25,0.0,0.0,0.0,0.62,0.003082,0.0,0.0,0.0,0.0,1
0.17,0.217,0.023041,0.0,0.05,0.1,0.133333,0.013825,0.003072,0.4,0.133333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.36,0
0.392,0.422,0.022117,0.15,0.1,0.15,0.133333,0.008689,0.00158,0.4,0.133333,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.66,0
0.396,0.433,0.108545,0.0,0.05,0.1,0.133333,0.019246,0.019246,0.66,0.191919,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0
0.322,0.37,0.065766,0.0,0.05,0.0,0.0,0.076577,0.0,0.44,0.212121,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.6,0
0.024,0.023667,0.070423,0.0,0.0,0.0,0.0,0.0,0.0,0.533333,0.125,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0
0.004,0.056667,0.211765,0.0,0.0,0.05,0.0,0.088235,0.0,0.2,0.133333,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.1,1
1.0,1.0,0.049992,0.35,0.3,0.55,0.4,0.048927,0.00837,0.22,0.121212,0.0,0.0,0.0,0.46,0.046949,0.1,0.2,0.0,0.0,0
0.226,0.263,0.059569,0.0,0.0,0.0,0.333333,0.011407,0.0,0.173333,0.153846,0.2,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.76,1
0.152,0.164667,0.103239,0.05,0.0,0.1,0.066667,0.004049,0.018219,0.046667,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.5,0.0,0.48,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.059724,0.000255,0.133333,0.25,0.0,0.0,0.0,0.28,0.003063,0.0,0.0,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061511,0.000255,0.133333,0.25,0.0,0.0,0.0,0.26,0.003063,0.0,0.0,0.0,0.0,1
0.016,0.022333,0.014925,0.0,0.0,0.05,0.0,0.0,0.0,0.36,0.018519,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,1
0.048,0.075,0.035556,0.05,0.0,0.0,0.0,0.0,0.0,0.146667,0.090909,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.34,1
0.122,0.127667,0.172324,0.05,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.26,1
1.0,1.0,0.049929,0.1,0.7,1.0,0.466667,0.034385,0.000707,0.32,0.083333,0.0,0.0,0.0,0.38,0.0,0.0,0.4,0.0,1.0,0
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.05998,0.000255,0.133333,0.25,0.0,0.0,0.0,0.34,0.003063,0.0,0.0,0.0,0.0,1
0.026,0.049,0.013605,0.05,0.0,0.0,0.066667,0.0,0.0,0.413333,0.016129,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.04,1
0.604,1.0,0.165767,0.0,0.75,1.0,0.2,0.056027,0.000257,0.133333,0.25,0.0,0.0,0.0,0.24,0.003084,0.0,0.0,0.0,0.0,1
0.108,0.106667,0.009375,0.05,0.0,0.05,0.0,0.0,0.0,0.22,0.121212,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.14,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061001,0.000255,0.133333,0.25,0.0,0.0,0.0,0.42,0.003063,0.0,0.0,0.0,0.0,1
0.338,0.400333,0.024979,0.0,0.05,0.2,0.133333,0.01249,0.003331,0.4,0.133333,0.0,0.0,0.0,0.3,0.002498,0.0,0.0,0.0,0.0,0
0.124,0.143333,0.025581,0.3,0.0,0.05,0.133333,0.023256,0.006977,0.02,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.1,1
0.088,0.100667,0.02649,0.1,0.0,0.05,0.066667,0.019868,0.003311,0.22,0.030303,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.1,1
0.13,0.178333,0.020561,0.0,0.0,0.15,0.0,0.035514,0.001869,0.426667,0.15625,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.0,0.38,0
0.872,0.780333,0.021358,0.05,0.1,0.0,0.133333,0.012388,0.002136,0.18,0.0,0.2,0.0,0.0,0.22,0.0,0.0,0.1,0.0,0.98,0
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061001,0.000255,0.133333,0.25,0.0,0.0,0.0,0.38,0.003063,0.0,0.0,0.0,0.0,1
0.134,0.203,0.026273,0.05,0.0,0.25,0.066667,0.024631,0.006568,0.36,0.111111,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.56,0
0.248,0.227333,0.027859,0.0,0.05,0.0,0.0,0.010264,0.0,1.0,0.086667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0
0.238,0.290333,0.030999,0.05,0.1,0.05,0.066667,0.074627,0.009185,0.253333,0.052632,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.48,0
0.09,0.142,0.037559,0.05,0.05,0.25,0.0,0.00939,0.002347,0.36,0.074074,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.4,0
0.184,0.196,0.085034,0.05,0.0,0.0,0.0,0.071429,0.001701,0.22,0.060606,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.86,0
0.256,0.324,0.062757,0.1,0.1,0.0,0.466667,0.02572,0.001029,0.246667,0.081081,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.0,0
0.252,0.202667,0.027961,0.0,0.05,0.0,0.066667,0.019737,0.001645,0.246667,0.027027,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.38,0
0.024,0.041667,0.072,0.15,0.05,0.0,0.066667,0.016,0.008,0.066667,0.1,0.0,0.0,0.0,0.32,0.0,0.0,0.1,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061256,0.000255,0.133333,0.25,0.0,0.0,0.0,0.28,0.003063,0.0,0.0,0.0,0.0,1
0.022,0.029,0.011494,0.0,0.0,0.1,0.0,0.0,0.0,0.26,0.025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1
0.472,0.654333,0.104432,0.0,0.0,0.5,0.133333,0.028528,0.0,0.333333,0.08,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.0,1.0,0
0.016,0.022333,0.029851,0.0,0.0,0.1,0.0,0.0,0.0,0.206667,0.032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.061766,0.000255,0.133333,0.25,0.0,0.0,0.0,0.5,0.003063,0.0,0.0,0.0,0.0,1
0.032,0.049667,0.04698,0.0,0.0,0.05,0.066667,0.0,0.0,0.213333,0.09375,0.0,0.0,0.0,0.16,0.0,0.0,0.1,0.0,0.22,1
0.604,1.0,0.164625,0.0,0.75,1.0,0.2,0.060745,0.000255,0.133333,0.25,0.0,0.0,0.0,0.24,0.003063,0.0,0.0,0.0,0.0,1
1.0,1.0,0.047226,0.1,0.0,0.3,0.2,0.017668,0.0,0.473333,0.084507,0.0,0.0,0.0,0.3,0.0,0.1,0.4,0.0,1.0,0
0.026,0.039,0.008547,0.0,0.0,0.05,0.0,0.0,0.0,0.326667,0.081633,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.12,1
